Teff R M
27000.0 0.01294358019338757 0.611
28000.0 0.012964747141613279 0.613
29000.0 0.012975317666925425 0.614
30000.0 0.012996432925266144 0.616
31000.0 0.01301751393332293 0.618
32000.0 0.013028041645462837 0.619
33000.0 0.013049071589167894 0.621
34000.0 0.013070067695407837 0.623
35000.0 0.013080553110407865 0.624
36000.0 0.01310149876531367 0.626
37000.0 0.013111959045435315 0.627
38000.0 0.013132854610955218 0.629
39000.0 0.013153716982503557 0.631
40000.0 0.013164135769865783 0.632
42500.0 0.013205728719540219 0.636
45000.0 0.013247191078138747 0.64
47500.0 0.013288524068057682 0.644
50000.0 0.013329728892741134 0.648
52500.0 0.01337080673708985 0.652
55000.0 0.013411758767858776 0.656
57500.0 0.013452586134043754 0.66
60000.0 0.013483125528928313 0.663
65000.0 0.01356422776725964 0.671
70000.0 0.013644847958674964 0.679
75000.0 0.013715001881040995 0.686
80000.0 0.01379474093595878 0.694
85000.0 0.013864136405554388 0.701
90000.0 0.013943022597883057 0.709
100000.0 0.014089743817399171 0.724
110000.0 0.014234952845541807 0.739
120000.0 0.014378695496798705 0.754
130000.0 0.014521015317963133 0.769
140000.0 0.01466195374223301 0.784
150000.0 0.014792284783040916 0.798
3250.0 0.008824131713566996 0.898
3500.0 0.008824131713566996 0.898
3750.0 0.008824131713566996 0.898
4000.0 0.008824131713566996 0.898
4250.0 0.008824131713566996 0.898
4500.0 0.008824131713566996 0.898
4750.0 0.008829043560155868 0.899
5000.0 0.008829043560155868 0.899
5250.0 0.008829043560155868 0.899
5500.0 0.008829043560155868 0.899
5750.0 0.008829043560155868 0.899
6000.0 0.008833952675664544 0.9
6250.0 0.008833952675664544 0.9
6500.0 0.008833952675664544 0.9
6750.0 0.008838859064643566 0.901
7000.0 0.008838859064643566 0.901
7500.0 0.008838859064643566 0.901
8000.0 0.00884376273163085 0.902
8500.0 0.00884376273163085 0.902
9000.0 0.008848663681151732 0.903
9500.0 0.008848663681151732 0.903
10000.0 0.00885356191771903 0.904
11000.0 0.00885356191771903 0.904
12000.0 0.008858457445833088 0.905
13000.0 0.00886335026998181 0.906
14000.0 0.008868240394640731 0.907
15000.0 0.00887312782427305 0.908
16000.0 0.008878012563329676 0.909
17000.0 0.008878012563329676 0.909
18000.0 0.008882894616249287 0.91
19000.0 0.008887773987458363 0.911
20000.0 0.008892650681371246 0.912
21000.0 0.008897524702390181 0.913
22000.0 0.008897524702390181 0.913
23000.0 0.008902396054905356 0.914
24000.0 0.008907264743294962 0.915
25000.0 0.00891213077192522 0.916
26000.0 0.00891699414515045 0.917
27000.0 0.008921854867313096 0.918
28000.0 0.008926712942743782 0.919
29000.0 0.008926712942743782 0.919
30000.0 0.008931568375761355 0.92
31000.0 0.008936421170672927 0.921
32000.0 0.008941271331773928 0.922
33000.0 0.008946118863348132 0.923
34000.0 0.008950963769667725 0.924
35000.0 0.008955806054993333 0.925
36000.0 0.008960645723574067 0.926
37000.0 0.008965482779647574 0.927
38000.0 0.008965482779647574 0.927
39000.0 0.008970317227440074 0.928
40000.0 0.008975149071166403 0.929
42500.0 0.008984804963223248 0.931
45000.0 0.008994450489310787 0.933
47500.0 0.009004085682742309 0.935
50000.0 0.009013710576653046 0.937
52500.0 0.009018519171594522 0.938
55000.0 0.009028128677966433 0.94
57500.0 0.009037727966885366 0.942
60000.0 0.009047317070873764 0.944
65000.0 0.009061681700831074 0.947
70000.0 0.009076023595905296 0.95
75000.0 0.009095110943162465 0.954
80000.0 0.009109400207186341 0.957
85000.0 0.009123667091742194 0.96
90000.0 0.009142654973034004 0.964
100000.0 0.009171063083876878 0.97
110000.0 0.009204095061965957 0.977
120000.0 0.009237008916903945 0.984
130000.0 0.009265127730553359 0.99
140000.0 0.00929782553529188 0.997
150000.0 0.009325760977916576 1.003
3250.0 0.005702642654293223 1.186
3500.0 0.005702642654293223 1.186
3750.0 0.005702642654293223 1.186
4000.0 0.005702642654293223 1.186
4250.0 0.005702642654293223 1.186
4500.0 0.005702642654293223 1.186
4750.0 0.005702642654293223 1.186
5000.0 0.005702642654293223 1.186
5250.0 0.005702642654293223 1.186
5500.0 0.005702642654293223 1.186
5750.0 0.005702642654293223 1.186
6000.0 0.005702642654293223 1.186
6250.0 0.005702642654293223 1.186
6500.0 0.005702642654293223 1.186
6750.0 0.005702642654293223 1.186
7000.0 0.005702642654293223 1.186
7500.0 0.005705046297246868 1.187
8000.0 0.005705046297246868 1.187
8500.0 0.005705046297246868 1.187
9000.0 0.005705046297246868 1.187
9500.0 0.005705046297246868 1.187
10000.0 0.005705046297246868 1.187
11000.0 0.005705046297246868 1.187
12000.0 0.005707448927927075 1.188
13000.0 0.005707448927927075 1.188
14000.0 0.005707448927927075 1.188
15000.0 0.005707448927927075 1.188
16000.0 0.005709850547611703 1.189
17000.0 0.005709850547611703 1.189
18000.0 0.005709850547611703 1.189
19000.0 0.005709850547611703 1.189
20000.0 0.005712251157575917 1.19
21000.0 0.005712251157575917 1.19
22000.0 0.005712251157575917 1.19
23000.0 0.005712251157575917 1.19
24000.0 0.005714650759092207 1.191
25000.0 0.005714650759092207 1.191
26000.0 0.005714650759092207 1.191
27000.0 0.005717049353430393 1.192
28000.0 0.005717049353430393 1.192
29000.0 0.005717049353430393 1.192
30000.0 0.005717049353430393 1.192
31000.0 0.005719446941857632 1.193
32000.0 0.005719446941857632 1.193
33000.0 0.005719446941857632 1.193
34000.0 0.005721843525638424 1.194
35000.0 0.005721843525638424 1.194
36000.0 0.005721843525638424 1.194
37000.0 0.005724239106034626 1.195
38000.0 0.005724239106034626 1.195
39000.0 0.005724239106034626 1.195
40000.0 0.005724239106034626 1.195
42500.0 0.00572663368430545 1.196
45000.0 0.005729027261707486 1.197
47500.0 0.005731419839494687 1.198
50000.0 0.0057338114189184 1.199
52500.0 0.00573620200122736 1.2
55000.0 0.005738591587667702 1.201
57500.0 0.005740980179482965 1.202
60000.0 0.005743367777914104 1.203
65000.0 0.0057481399995749465 1.205
70000.0 0.005750524625273697 1.206
75000.0 0.0057529082625264365 1.207
80000.0 0.005757672576603885 1.209
85000.0 0.005760053255877254 1.21
90000.0 0.005762432951601945 1.211
100000.0 0.005767189397274842 1.213
110000.0 0.00577194192333662 1.215
120000.0 0.005776690539461355 1.217
130000.0 0.0057814352552833966 1.219
140000.0 0.005786176080397594 1.221
150000.0 0.005790913024359521 1.223
