Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
5100.0	6.0	5094.07758	5321.28547	5320.83404	5290.43977	5247.00770
5200.0	4.0	5184.93605	5468.74125	5497.00868	5435.82477	5371.84541
5200.0	4.5	5386.73265	5487.78267	5452.01948	5366.30428	5309.98756
5200.0	5.0	5339.87710	5470.91878	5446.59088	5374.13828	5322.42322
5200.0	5.5	5286.12589	5457.80430	5442.93557	5384.52730	5334.68410
5200.0	6.0	5037.70941	5410.58518	5454.45036	5464.67564	5409.70279
5300.0	4.0	5305.12899	5585.07246	5611.01744	5545.03455	5481.36599
5300.0	4.5	5515.03713	5603.14346	5561.25575	5469.41228	5412.61748
5300.0	5.0	5268.33631	5571.43553	5600.88414	5557.92075	5496.13579
5300.0	5.5	5414.81216	5565.91030	5548.08595	5482.81450	5434.83081
5300.0	6.0	5348.02126	5538.51241	5532.08042	5483.53068	5440.64797
5400.0	4.0	5659.11540	5723.30456	5663.58193	5560.36633	5502.52491
5400.0	4.5	5418.00227	5694.47450	5717.81300	5654.95054	5592.29070
5400.0	5.0	5590.05272	5687.31556	5653.70176	5570.24803	5520.74547
5400.0	5.5	5538.97932	5669.89051	5647.66081	5576.22463	5530.08599
5400.0	6.0	5495.84695	5667.91374	5657.34220	5599.78787	5556.59833
5500.0	4.0	5773.34221	5835.50028	5767.36639	5659.95608	5601.87724
5500.0	4.5	5744.99513	5809.73934	5757.07175	5659.72739	5607.67437
5500.0	5.0	5521.73435	5803.26105	5826.31555	5769.02601	5707.54682
5500.0	5.5	5466.69177	5773.24953	5806.96255	5769.28393	5712.56030
5500.0	6.0	5623.00062	5774.15999	5759.39609	5694.92240	5653.31223
5600.0	4.0	5872.08168	5934.13257	5856.80269	5745.03677	5686.09448
5600.0	4.5	5662.30229	5926.77797	5939.70079	5865.29932	5802.14323
5600.0	5.0	5635.27631	5904.17946	5926.88401	5866.97764	5809.12813
5600.0	5.5	5597.15164	5890.51583	5921.37631	5876.50797	5820.55651
5600.0	6.0	5546.23996	5875.32585	5915.33743	5889.56989	5835.15608
5700.0	4.0	5784.43845	6059.15299	6058.31547	5969.99845	5902.85840
5700.0	4.5	5957.41930	6013.52810	5944.59198	5839.01357	5786.78666
5700.0	5.0	5921.48136	5982.43692	5929.12805	5833.85070	5788.07531
5700.0	5.5	5721.98271	6003.23795	6030.41884	5979.08140	5923.79840
5700.0	6.0	5830.95229	5946.00304	5921.24236	5846.54686	5808.02571
5800.0	4.0	6088.51793	6163.74606	6065.01605	5943.73459	5882.09543
5800.0	4.5	6066.17870	6120.08433	6041.34323	5932.37810	5881.13825
5800.0	5.0	6038.54144	6091.98637	6030.05644	5930.32979	5884.97207
5800.0	5.5	5845.69346	6115.64585	6138.46470	6080.90986	6026.16882
5800.0	6.0	5799.10148	6100.92271	6134.91573	6094.28255	6041.27424
5900.0	4.0	6191.06512	6280.00882	6170.54721	6043.98962	5980.13522
5900.0	4.5	6184.31215	6241.94306	6152.24103	6037.55768	5984.34507
