Teff log(g) y
26001.595631652723 4.0 0.3901
26977.394324449207 4.0 0.3991
27989.813196343628 4.0 0.4159
28973.435877013213 4.0 0.4337
29991.62518987653 4.0 0.4428
30974.19299216578 4.0 0.4429
31988.951096913974 4.0 0.4248
33036.95410368149 4.0 0.3967
33962.52725904082 4.0 0.3647
34994.516702835695 4.0 0.3311
35974.93351557424 4.0 0.3023
36982.817978026585 4.0 0.2816
38018.93963205613 4.0 0.2706
38994.19866765436 4.0 0.2636
3499.451670283573 4.5 0.3175
3749.730022454834 4.5 0.3197
3999.4474976109736 4.5 0.3629
4246.19563946313 4.5 0.4365
4497.798548932879 4.5 0.4551
4753.352259428054 4.5 0.4459
5000.345349769783 4.5 0.4257
5248.074602497728 4.5 0.3907
5495.408738576249 4.5 0.3506
5754.399373371566 4.5 0.3123
5997.910762555094 4.5 0.276
6251.726927756856 4.5 0.2417
6501.296903430909 4.5 0.214
6745.280276979222 4.5 0.1885
6998.419960022738 4.5 0.1715
7244.359600749898 4.5 0.1168
7498.942093324558 4.5 0.1238
7744.617978025183 4.5 0.4302
7998.342550070284 4.5 0.5858
8241.38115013002 4.5 0.5612
8491.804750363135 4.5 0.5132
8749.837752274363 4.5 0.4788
8994.975815300355 4.5 0.4629
9246.98173938223 4.5 0.4454
9506.04793656282 4.5 0.4307
9749.896377173867 4.5 0.4222
10000.0 4.5 0.4178
10256.519262514079 4.5 0.4135
10495.42428652322 4.5 0.4083
10739.89412341244 4.5 0.4053
10990.05839432522 4.5 0.403
11246.049739669268 4.5 0.3999
11508.003889444357 4.5 0.3959
11748.975549395303 4.5 0.3914
11994.993031493781 4.5 0.3867
12246.16199265049 4.5 0.3822
12502.590302177214 4.5 0.3775
12764.388088113436 4.5 0.3731
13001.695780332899 4.5 0.3625
13995.873225726178 4.5 0.3547
14996.84835502374 4.5 0.3438
15995.580286146678 4.5 0.3374
16982.43652461746 4.5 0.3352
17988.709151287872 4.5 0.3365
19010.782799232995 4.5 0.3404
19998.61869632745 4.5 0.3462
20989.398836235243 4.5 0.3533
21978.59872784823 4.5 0.3621
23014.41817408509 4.5 0.3717
23988.329190194898 4.5 0.3808
25003.453616964296 4.5 0.388
26001.595631652723 4.5 0.3927
26977.394324449207 4.5 0.3985
27989.813196343628 4.5 0.4086
28973.435877013213 4.5 0.4237
29991.62518987653 4.5 0.4383
30974.19299216578 4.5 0.4461
31988.951096913974 4.5 0.4487
33036.95410368149 4.5 0.4379
33962.52725904082 4.5 0.4153
34994.516702835695 4.5 0.391
35974.93351557424 4.5 0.3617
36982.817978026585 4.5 0.329
38018.93963205613 4.5 0.3
38994.19866765436 4.5 0.2782
39994.47497610978 4.5 0.2665
41020.410298660725 4.5 0.2612
41975.89839910078 4.5 0.26
42953.64267648873 4.5 0.2601
43954.16154378243 4.5 0.2609
44977.98548932875 4.5 0.261
46025.65735813563 4.5 0.2598
46989.41086052151 4.5 0.2587
47973.34486366892 4.5 0.2575
48977.881936844664 4.5 0.2565
3499.451670283573 5.0 0.2986
3749.730022454834 5.0 0.2983
3999.4474976109736 5.0 0.3548
4246.19563946313 5.0 0.4277
4497.798548932879 5.0 0.4627
4753.352259428054 5.0 0.4503
5000.345349769783 5.0 0.4262
5248.074602497728 5.0 0.3916
5495.408738576249 5.0 0.3513
5754.399373371566 5.0 0.3117
5997.910762555094 5.0 0.275
6251.726927756856 5.0 0.2404
6501.296903430909 5.0 0.2122
6745.280276979222 5.0 0.1875
6998.419960022738 5.0 0.1708
7244.359600749898 5.0 0.1159
7498.942093324558 5.0 0.1211
7744.617978025183 5.0 0.4294
7998.342550070284 5.0 0.5807
8241.38115013002 5.0 0.5703
8491.804750363135 5.0 0.5559
8749.837752274363 5.0 0.491
8994.975815300355 5.0 0.4481
9246.98173938223 5.0 0.4519
9506.04793656282 5.0 0.4327
9749.896377173867 5.0 0.4193
10000.0 5.0 0.4102
10256.519262514079 5.0 0.4044
10495.42428652322 5.0 0.3997
10739.89412341244 5.0 0.396
10990.05839432522 5.0 0.3946
11246.049739669268 5.0 0.392
11508.003889444357 5.0 0.3886
11748.975549395303 5.0 0.3856
11994.993031493781 5.0 0.3825
12246.16199265049 5.0 0.3793
12502.590302177214 5.0 0.3757
12764.388088113436 5.0 0.3721
13001.695780332899 5.0 0.3637
13995.873225726178 5.0 0.3569
14996.84835502374 5.0 0.3464
15995.580286146678 5.0 0.3388
16982.43652461746 5.0 0.3351
17988.709151287872 5.0 0.3349
19010.782799232995 5.0 0.3372
19998.61869632745 5.0 0.3419
20989.398836235243 5.0 0.3482
21978.59872784823 5.0 0.3561
23014.41817408509 5.0 0.3656
23988.329190194898 5.0 0.3757
25003.453616964296 5.0 0.3858
26001.595631652723 5.0 0.3949
26977.394324449207 5.0 0.4037
27989.813196343628 5.0 0.4126
28973.435877013213 5.0 0.4239
29991.62518987653 5.0 0.4365
30974.19299216578 5.0 0.4474
31988.951096913974 5.0 0.4532
33036.95410368149 5.0 0.4504
33962.52725904082 5.0 0.4377
34994.516702835695 5.0 0.417
35974.93351557424 5.0 0.3949
36982.817978026585 5.0 0.3687
38018.93963205613 5.0 0.3396
38994.19866765436 5.0 0.3111
39994.47497610978 5.0 0.2863
41020.410298660725 5.0 0.2689
41975.89839910078 5.0 0.2582
42953.64267648873 5.0 0.2516
43954.16154378243 5.0 0.249
44977.98548932875 5.0 0.2478
46025.65735813563 5.0 0.2474
46989.41086052151 5.0 0.2473
47973.34486366892 5.0 0.2463
48977.881936844664 5.0 0.2452
50003.45349769783 5.0 0.2564
