Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
6500.0	5.5	6792.27995	6637.23826	6573.00715
6500.0	6.0	6761.12406	6625.25391	6570.13423
6600.0	4.0	7183.71240	6994.18833	6860.12315
6600.0	4.5	7109.77774	6962.96603	6857.08782
6600.0	5.0	7070.84929	6946.33889	6854.21252
6600.0	5.5	7019.23892	6922.88793	6845.52931
6600.0	6.0	6881.78691	6738.82567	6682.36399
6700.0	4.0	7307.59541	7103.96425	6960.24804
6700.0	4.5	7229.64549	7071.00366	6958.59087
6700.0	5.0	7065.91445	6866.56212	6779.81192
6700.0	5.5	7127.86631	7023.15118	6943.61212
6700.0	6.0	7000.12372	6849.55901	6790.91626
6800.0	4.0	7434.42438	7214.23355	7059.69371
6800.0	4.5	7351.31690	7180.28186	7060.22958
6800.0	5.0	7176.45544	6969.28953	6877.93438
6800.0	5.5	7238.53550	7125.30098	7042.97575
6800.0	6.0	7186.46711	7097.35664	7025.87834
6900.0	4.0	7445.07023	7145.16167	6990.55258
6900.0	4.5	7344.43682	7100.57294	6983.55899
6900.0	5.0	7419.86096	7264.44294	7156.86959
6900.0	5.5	7212.17348	7030.52140	6955.67493
6900.0	6.0	7293.49041	7196.92123	7123.86371
