Teff log(g) a1 a2 a3 a4 I1 beaming
4250.0 5.75 0.1526 2.0481 -2.3995 0.9114 5.44023e-07 -6.2466
4500.0 5.75 0.4753 1.2814 -1.631 0.6358 8.67075e-07 -5.7335
4750.0 5.75 0.6948 0.7699 -1.0868 0.4341 1.36213e-06 -5.2746
5000.0 5.75 0.3825 1.4704 -1.6181 0.5986 2.00893e-06 -4.8619
5250.0 5.75 0.2351 1.7976 -1.8504 0.6633 3.16663e-06 -4.4888
5500.0 5.75 0.0158 2.3566 -2.3512 0.8225 4.61414e-06 -4.15
5750.0 5.75 -0.2014 2.9264 -2.8904 0.9972 6.33345e-06 -3.8411
6000.0 5.75 -0.3521 3.2893 -3.208 1.0885 8.31535e-06 -3.5584
6250.0 5.75 -0.4399 3.4561 -3.313 1.1009 1.05453e-05 -3.2988
6500.0 5.75 -0.4661 3.4262 -3.1979 1.0301 1.30016e-05 -3.0596
7000.0 5.75 -0.3805 2.9409 -2.5162 0.728 1.84328e-05 -2.634
7500.0 5.75 -0.1446 2.0369 -1.4405 0.3051 2.43061e-05 -2.2672
8000.0 5.75 0.1102 1.1498 -0.4947 -0.0286 3.04144e-05 -1.9482
8500.0 5.75 0.306 0.5185 0.0834 -0.199 3.68956e-05 -1.6687
9000.0 5.75 0.5226 -0.0881 0.5756 -0.3253 4.40246e-05 -1.4222
9500.0 5.75 0.7196 -0.6094 0.9791 -0.4237 5.16446e-05 -1.2034
10000.0 5.75 0.8249 -0.837 1.0784 -0.421 5.8367e-05 -1.0082
10500.0 5.75 0.8534 -0.8972 1.0869 -0.4129 6.57489e-05 -0.8331
11000.0 5.75 0.8488 -0.9024 1.0906 -0.4156 7.53324e-05 -0.6755
11500.0 5.75 0.8371 -0.886 1.0772 -0.414 8.62565e-05 -0.5328
12000.0 5.75 0.8264 -0.8647 1.0547 -0.4084 9.82734e-05 -0.4033
12500.0 5.75 0.8087 -0.8226 1.0076 -0.393 0.000111209 -0.2852
13000.0 5.75 0.7979 -0.7966 0.976 -0.3829 0.000124939 -0.1773
13500.0 5.75 0.7879 -0.7725 0.9447 -0.372 0.000139377 -0.0783
14000.0 5.75 0.7798 -0.7543 0.9198 -0.3632 0.000154472 0.0128
14500.0 5.75 0.7727 -0.7398 0.8988 -0.3555 0.000170215 0.0969
15000.0 5.75 0.7661 -0.7271 0.8805 -0.3489 0.000186602 0.1746
15500.0 5.75 0.7603 -0.7165 0.8646 -0.3431 0.000203631 0.2467
16000.0 5.75 0.7552 -0.7078 0.8512 -0.3384 0.000221315 0.3137
16500.0 5.75 0.7521 -0.7038 0.8427 -0.3353 0.000239658 0.376
17000.0 5.75 0.6792 -0.5311 0.6601 -0.2676 0.000258709 0.4343
20000.0 5.75 0.7874 -0.7994 0.9041 -0.3551 0.000387164 0.7149
25000.0 5.75 0.9826 -1.2138 1.2485 -0.468 0.000664523 1.0163
30000.0 5.75 0.9495 -1.0431 0.9677 -0.3459 0.00108086 1.2061
35000.0 5.75 0.7732 -0.7685 0.6771 -0.2399 0.00158993 1.3358
40000.0 5.75 0.7465 -0.8447 0.7843 -0.2859 0.00199623 1.4297
45000.0 5.75 0.7824 -1.0193 0.9826 -0.3625 0.00233669 1.5007
50000.0 5.75 0.8396 -1.2145 1.1928 -0.4414 0.00264989 1.5561
55000.0 5.75 0.9031 -1.4032 1.3901 -0.5143 0.00293895 1.6006
60000.0 5.75 0.9679 -1.5808 1.5713 -0.5802 0.00321755 1.6371
3750.0 6.0 -0.7093 3.7591 -3.7686 1.3154 2.32836e-07 -7.4788
4000.0 6.0 -0.243 2.9479 -3.2401 1.198 3.54795e-07 -6.8241
4250.0 6.0 0.2939 1.7342 -2.1076 0.8117 5.55316e-07 -6.2466
4500.0 6.0 0.6426 0.8882 -1.252 0.5022 8.74838e-07 -5.7335
4750.0 6.0 0.8778 0.3337 -0.6659 0.2842 1.36296e-06 -5.2746
5000.0 6.0 0.5407 1.1228 -1.3144 0.4959 1.93419e-06 -4.8619
5250.0 6.0 0.4185 1.3912 -1.5002 0.5487 3.09292e-06 -4.4888
5500.0 6.0 0.2023 1.9231 -1.9636 0.6959 4.5507e-06 -4.15
5750.0 6.0 -0.0392 2.553 -2.5617 0.8932 6.2891e-06 -3.8411
6000.0 6.0 -0.2284 3.0327 -3.0121 1.0368 8.28912e-06 -3.5584
6250.0 6.0 -0.3435 3.2898 -3.2259 1.0931 1.05406e-05 -3.2988
6500.0 6.0 -0.4001 3.3629 -3.2362 1.0728 1.30217e-05 -3.0596
7000.0 6.0 -0.3778 3.0892 -2.8042 0.8679 1.85569e-05 -2.634
7500.0 6.0 -0.2166 2.382 -1.9122 0.5016 2.46311e-05 -2.2672
8000.0 6.0 0.0174 1.4916 -0.8926 0.1177 3.10151e-05 -1.9482
8500.0 6.0 0.2245 0.7569 -0.1362 -0.1369 3.77258e-05 -1.6687
9000.0 6.0 0.4371 0.1029 0.4533 -0.3091 4.50175e-05 -1.4222
9500.0 6.0 0.6647 -0.5285 0.9803 -0.4514 5.28606e-05 -1.2034
10000.0 6.0 0.8153 -0.8774 1.1858 -0.4759 6.04768e-05 -1.0082
10500.0 6.0 0.8376 -0.9029 1.125 -0.432 6.70281e-05 -0.8331
11000.0 6.0 0.837 -0.9038 1.1035 -0.4206 7.57462e-05 -0.6755
