Teff log(g) a1 a2 a3 a4
7400.0 4.0 2.1018 2.9542 -7.9177 4.2589
7400.0 4.5 5.4042 -7.3404 4.2388 -0.6405
7400.0 5.0 7.9181 -16.0434 15.0807 -5.1399
7400.0 5.5 8.8002 -20.3021 21.1126 -7.8441
7400.0 6.0 8.0952 -19.3758 20.7992 -7.921
7600.0 2.5 -11.2406 39.5563 -46.6828 18.4627
7600.0 3.0 -7.2851 30.2433 -38.3737 15.9457
7600.0 3.5 -2.9514 18.1885 -25.4079 11.1221
7600.0 4.0 2.0307 3.4085 -8.5803 4.5378
7600.0 4.5 5.3338 -7.1058 3.931 -0.5012
7600.0 5.0 8.0062 -16.1847 15.15 -5.1456
7600.0 5.5 8.912 -20.3583 20.9873 -7.7477
7600.0 6.0 8.2238 -19.7004 21.1287 -8.0432
7800.0 2.5 -11.2328 39.835 -47.2502 18.752
7800.0 3.0 -7.5576 31.1525 -39.4661 16.3782
7800.0 3.5 -3.1437 18.9761 -26.4465 11.5528
7800.0 4.0 1.9782 3.6323 -8.9029 4.6863
7800.0 4.5 5.3756 -7.076 3.7836 -0.418
7800.0 5.0 8.1017 -16.3516 15.252 -5.1657
7800.0 5.5 9.0114 -20.1463 20.3959 -7.425
7800.0 6.0 8.5624 -20.3643 21.6638 -8.1986
8000.0 2.5 -11.6402 40.8985 -48.2908 19.0935
8000.0 3.0 -7.9826 32.4616 -40.9699 16.9588
8000.0 3.5 -3.3552 19.7077 -27.3621 11.931
8000.0 4.0 1.902 4.0425 -9.5095 4.9562
8000.0 4.5 5.4263 -7.0744 3.6692 -0.3481
8000.0 5.0 8.1886 -16.4902 15.3183 -5.1706
8000.0 5.5 9.333 -20.6041 20.5418 -7.3849
8000.0 6.0 9.0965 -21.3583 22.4187 -8.4
8200.0 2.5 -12.1022 41.8793 -49.0094 19.2392
8200.0 3.0 -8.6342 34.3614 -43.0705 17.7489
8200.0 3.5 -4.2161 22.3653 -30.4505 13.1459
8200.0 4.0 1.2237 6.3176 -12.3042 6.1004
8200.0 4.5 5.413 -6.8461 3.2666 -0.1572
8200.0 5.0 8.3323 -16.7726 15.5299 -5.2285
8200.0 5.5 9.4304 -20.7889 20.6747 -7.4187
8200.0 6.0 9.3712 -21.9017 22.8619 -8.5316
8400.0 2.5 -12.4437 42.489 -49.2976 19.2163
8400.0 3.0 -9.0291 35.5342 -44.3841 18.2472
8400.0 3.5 -4.7299 23.9957 -32.3788 13.9126
8400.0 4.0 0.6054 8.3919 -14.8543 7.1457
8400.0 4.5 4.7385 -4.4706 0.2686 1.0936
8400.0 5.0 8.3267 -16.5491 15.1193 -5.0295
8400.0 5.5 9.4809 -20.8902 20.7469 -7.4346
8400.0 6.0 9.5587 -22.3069 23.2137 -8.6416
8600.0 2.5 -12.6534 42.7464 -49.2263 19.0679
8600.0 3.0 -9.6794 37.3052 -46.2341 18.9109
8600.0 3.5 -5.0562 25.0478 -33.6342 14.4138
8600.0 4.0 0.4078 9.1683 -15.8771 7.5765
8600.0 4.5 4.306 -2.8851 -1.7731 1.9542
8600.0 5.0 7.9179 -14.8585 12.8335 -4.0385
8600.0 5.5 9.5489 -21.0958 20.9585 -7.503
8600.0 6.0 9.684 -22.5933 23.467 -8.7216
8800.0 2.5 -12.7789 42.6566 -48.6678 18.7011
8800.0 3.0 -10.2778 38.8537 -47.7702 19.4347
8800.0 3.5 -6.1181 28.1406 -37.0863 15.7349
8800.0 4.0 -0.2746 11.3358 -18.4552 8.6115
8800.0 4.5 4.2054 -2.3974 -2.4752 2.2652
8800.0 5.0 7.7061 -13.8612 11.4167 -3.4102
8800.0 5.5 9.6968 -21.4163 21.2293 -7.587
8800.0 6.0 9.8169 -22.9178 23.7755 -8.8268
9000.0 2.5 -12.8333 42.361 -47.8817 18.2484
