Teff log(g) filter a1 a2 a3 a4
3300 4.5 B 3.420870824088465 -5.378161348016341 5.261106311521526 -1.8308327948397005
3300 5.0 B 2.409585639846811 -3.113921775325672 3.0856005753329288 -1.0894611072282674
3300 5.5 B 1.605259221444841 -1.3721108456336952 1.4777622694598729 -0.5489600224933384
3300 6.0 B 0.9548801700950191 -0.0666976011856566 0.37972727486813906 -0.1986406875549518
3400 3.5 B 5.960623252503971 -11.304590353299927 10.95872910387023 -3.6522338093191724
3400 4.0 B 4.516037076036097 -8.0230036346912 7.912243774629039 -2.731369114195604
3400 4.5 B 3.630597513026674 -5.9077392073010015 5.791807768426206 -2.0201541287510936
3400 5.0 B 2.664531844569746 -3.6834750341569302 3.5984430777034717 -1.2641857091187212
3400 5.5 B 1.9323261927388264 -2.0449914321944003 2.030448584530105 -0.7274979154528545
3400 6.0 B 1.2915871972605268 -0.6774061697436053 0.7995133243432836 -0.31907758960973415
3500 3.5 B 7.060092278581204 -13.91004100518088 13.40375774500262 -4.441462814154785
3500 4.0 B 4.95326043573821 -9.15640599196319 9.045449932366024 -3.119087649037168
3500 4.5 B 3.8487224504946207 -6.481444433326007 6.372828413068818 -2.225919790960259
3500 5.0 B 2.880868023971002 -4.203084260656972 4.0895217904307355 -1.4348030336718074
3500 5.5 B 2.1632006136858384 -2.54187869459252 2.4459533410540066 -0.861923943571038
3500 6.0 B 1.5790645828794956 -1.243628240830653 1.2246832645067907 -0.44622135080409836
3600 3.5 B 7.741816335462606 -15.567454421279601 14.928169313829436 -4.898183376423795
3600 4.0 B 5.378600488119166 -10.262039358708567 10.130023708087466 -3.4742478669284687
3600 4.5 B 4.1176509464082125 -7.1860145138422435 7.078779815692835 -2.470248015911656
3600 5.0 B 3.0349386738117463 -4.59207615621633 4.460559118740969 -1.5620386963183988
3600 5.5 B 2.346441837355985 -2.961094538568002 2.812780700408407 -0.9825960067508418
3600 6.0 B 1.8208898028918847 -1.75764641701393 1.63760205300095 -0.5737223267391605
3700 3.5 B 8.253049660985912 -16.953868265154316 16.263744715031173 -5.296653353631588
3700 4.0 B 5.556578152536977 -10.814627557676513 10.669983639269203 -3.6224944859378105
3700 4.5 B 4.304020421917795 -7.703072676531915 7.5943954489630325 -2.638228048487092
3700 5.0 B 3.197448081085617 -5.015003183413755 4.875156052315592 -1.7034019027526415
3700 5.5 B 2.48709525640101 -3.3088201128480748 3.129904915120585 -1.0877319784434853
3700 6.0 B 2.0029545910459974 -2.169984452147779 1.988400152781117 -0.6856577540534876
3800 3.5 B 8.152336611812371 -16.87401821687012 16.18605619295463 -5.2182424503499165
3800 4.0 B 5.432401821720488 -10.736526582064648 10.627291246155616 -3.5578554902927366
3800 4.5 B 4.392521578363779 -8.031063749593736 7.9430367234002315 -2.739877240793331
3800 5.0 B 3.325729728306254 -5.388056894273431 5.253040075659051 -1.828695840609516
