Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
9000.0	8.00	9216.65363	9037.59789	8990.09869
9000.0	8.25	9193.61988	9021.27708	8984.28019
9000.0	8.50	9175.38382	9006.68577	8979.51066
9000.0	8.75	9161.75528	8994.26813	8976.17973
9000.0	9.00	9153.50163	8985.62802	8976.51118
9000.0	9.25	9150.28995	8976.17213	8975.89050
9000.0	9.50	9152.20579	8974.00762	8982.60381
9250.0	6.50	9765.06132	9458.21189	9286.63948
9250.0	6.75	9707.69206	9429.41371	9282.80398
9250.0	7.00	9653.38395	9400.81619	9276.02883
9250.0	7.25	9602.80580	9372.74794	9268.74533
9250.0	7.50	9556.99588	9347.71118	9261.67580
9250.0	7.75	9516.86077	9323.99505	9255.17480
9250.0	8.00	9481.92645	9301.83421	9248.85457
9250.0	8.25	9452.44677	9281.90005	9242.27761
9250.0	8.50	9428.37578	9265.23740	9237.21320
9250.0	8.75	9409.21008	9246.20717	9228.72348
9250.0	9.00	9395.51234	9231.29391	9223.82782
9250.0	9.25	9387.50078	9220.55600	9222.50661
9250.0	9.50	9384.55258	9216.56234	9230.58331
9500.0	6.50	10056.54205	9729.82415	9529.56509
9500.0	6.75	9998.52349	9693.25752	9526.32539
9500.0	7.00	9942.38732	9674.36726	9528.20114
9500.0	7.25	9887.93108	9645.57117	9523.16545
9500.0	7.50	9837.14652	9619.26194	9518.76437
9500.0	7.75	9791.81080	9594.53796	9515.21921
9500.0	8.00	9750.89421	9569.98199	9509.20630
9500.0	8.25	9715.87700	9542.97495	9498.85988
9500.0	8.50	9685.85767	9521.96451	9491.62777
9500.0	8.75	9661.12174	9502.46621	9484.78718
9500.0	9.00	9641.24645	9488.35507	9481.31168
9500.0	9.25	9628.13981	9473.46295	9476.96548
9500.0	9.50	9620.26188	9466.30888	9479.84944
9750.0	6.50	10344.81260	9976.66691	9745.75894
9750.0	6.75	10285.74038	9959.40354	9760.54275
9750.0	7.00	10227.98327	9938.60094	9770.10531
9750.0	7.25	10171.43454	9908.73854	9769.24114
9750.0	7.50	10117.52227	9889.45158	9773.51481
9750.0	7.75	10067.88473	9863.68460	9771.32558
9750.0	8.00	10022.29969	9833.22913	9762.45545
9750.0	8.25	9982.02063	9807.57830	9755.99895
9750.0	8.50	9946.47079	9792.89442	9756.67680
9750.0	8.75	9916.09717	9770.47868	9749.28940
9750.0	9.00	9890.43416	9749.38022	9741.98658
9750.0	9.25	9870.76305	9716.33486	9724.73637
9750.0	9.50	9857.30531	9700.73016	9720.46594
10000.0	6.50	10616.48229	10206.95471	9944.59939
10000.0	6.75	10558.92555	10193.86944	9970.73864
10000.0	7.00	10501.81780	10188.46100	9995.69147
10000.0	7.25	10445.81177	10171.44125	10008.11262
10000.0	7.50	10391.62613	10150.29804	10015.88050
10000.0	7.75	10340.26219	10126.57448	10019.98678
10000.0	8.00	10291.82873	10102.31247	10018.69994
10000.0	8.25	10247.50500	10075.69002	10011.97444
10000.0	8.50	10207.33774	10057.08300	10012.32230
10000.0	8.75	10172.64053	10027.73036	10005.40337
10000.0	9.00	10142.38931	9993.00957	9988.04028
10000.0	9.25	10117.21170	9980.93593	9991.91008
10000.0	9.50	10098.47415	9957.98129	9979.49527
10250.0	6.50	10875.50293	10406.25191	10114.26707
10250.0	6.75	10828.27795	10431.49710	10174.28293
10250.0	7.00	10771.46095	10415.89380	10196.00569
10250.0	7.25	10715.20576	10405.48244	10219.03548
10250.0	7.50	10660.70345	10390.17714	10235.73045
10250.0	7.75	10608.16158	10383.03240	10257.68056
10250.0	8.00	10558.09993	10362.05969	10262.51946
10250.0	8.25	10511.35546	10336.15284	10258.11487
10250.0	8.50	10467.79417	10303.83612	10251.54841
10250.0	8.75	10429.22111	10279.21856	10247.62875
10250.0	9.00	10395.08130	10252.99566	10242.14414
10250.0	9.25	10365.41806	10234.54293	10240.86894
10250.0	9.50	10341.35037	10214.97395	10241.59189
10500.0	6.50	11098.40248	10571.26171	10248.67536
10500.0	6.75	11068.76766	10615.56141	10329.70814
10500.0	7.00	11024.84606	10634.87989	10386.78251
10500.0	7.25	10971.09457	10647.87229	10435.44702
10500.0	7.50	10917.47991	10626.89509	10450.69251
10500.0	7.75	10865.51079	10615.43426	10469.83715
10500.0	8.00	10815.65574	10599.06890	10484.05587
10500.0	8.25	10768.43287	10581.46265	10492.08597
10500.0	8.50	10724.12249	10567.48600	10502.75209
10500.0	8.75	10682.90930	10548.08261	10507.09554
10500.0	9.00	10645.83483	10524.40276	10507.75228
10500.0	9.25	10613.40433	10497.70687	10503.04719
10500.0	9.50	10585.83950	10459.96201	10485.40674
10750.0	6.50	11325.11197	10733.77509	10378.41999
10750.0	6.75	11288.52488	10783.09909	10466.34587
10750.0	7.00	11265.32469	10841.73296	10559.84005
10750.0	7.25	11222.20311	10867.51125	10627.05200
10750.0	7.50	11169.75163	10855.54244	10655.16146
10750.0	7.75	11118.45535	10863.46830	10692.98035
10750.0	8.00	11068.85645	10848.50102	10717.18905
10750.0	8.25	11022.26196	10839.19688	10733.09615
10750.0	8.50	10977.82560	10819.08198	10746.16283
10750.0	8.75	10935.47306	10802.29128	10752.79487
10750.0	9.00	10896.20797	10781.51227	10758.73342
10750.0	9.25	10860.37772	10742.16042	10746.93584
10750.0	9.50	10829.38912	10716.53877	10739.74357
11000.0	6.50	11559.97031	10907.81780	10520.11585
11000.0	6.75	11502.46795	10955.23606	10607.61042
11000.0	7.00	11470.99673	10995.17660	10689.98947
11000.0	7.25	11450.07535	11046.09024	10780.36879
11000.0	7.50	11408.51743	11075.68362	10847.67898
11000.0	7.75	11359.62035	11070.06887	10886.27616
11000.0	8.00	11311.55285	11082.31974	10925.07964
11000.0	8.25	11265.08079	11069.24744	10947.48442
11000.0	8.50	11221.58987	11063.06272	10972.45628
11000.0	8.75	11180.27057	11047.54790	10987.26356
11000.0	9.00	11141.29016	11025.14939	10992.71797
11000.0	9.25	11104.76005	10994.08509	10994.29408
11000.0	9.50	11071.20078	10970.47612	10990.90933
11250.0	6.50	11781.83744	11088.51325	10675.41520
11250.0	6.75	11723.20554	11106.62352	10730.30382
11250.0	7.00	11674.87015	11147.83590	10813.88899
11250.0	7.25	11654.25195	11224.88244	10930.32124
11250.0	7.50	11637.35509	11272.53310	11021.68830
11250.0	7.75	11596.04684	11293.15332	11084.11542
11250.0	8.00	11549.26948	11299.49932	11129.98506
11250.0	8.25	11503.58264	11304.45615	11164.43835
11250.0	8.50	11460.24346	11297.55478	11191.08860
11250.0	8.75	11419.98827	11274.34065	11206.20129
11250.0	9.00	11381.52181	11269.66576	11226.13570
11250.0	9.25	11346.08226	11256.15495	11241.82342
11250.0	9.50	11312.37046	11228.61185	11249.08898
11500.0	6.50	12000.20886	11273.76572	10838.08380
11500.0	6.75	11950.86126	11301.79246	10893.91501
11500.0	7.00	11888.42803	11324.00375	10959.26642
11500.0	7.25	11845.62856	11374.93630	11055.08914
11500.0	7.50	11833.73257	11436.48887	11161.75969
11500.0	7.75	11815.53204	11475.28105	11245.49235
11500.0	8.00	11775.57458	11513.61484	11315.98084
11500.0	8.25	11731.73493	11514.70526	11359.44054
11500.0	8.50	11689.18613	11505.45529	11391.32341
11500.0	8.75	11649.50853	11512.54706	11423.93603
11500.0	9.00	11612.29450	11508.76733	11453.16738
11500.0	9.25	11578.02517	11495.14964	11471.60160
11500.0	9.50	11546.50224	11462.95519	11477.74980
11750.0	6.50	12200.38303	11450.11214	11000.55263
11750.0	6.75	12160.13473	11480.71394	11053.34938
11750.0	7.00	12103.33172	11495.84364	11103.77906
11750.0	7.25	12046.52896	11513.00736	11166.85260
11750.0	7.50	12018.07493	11584.03886	11284.73910
11750.0	7.75	12015.27725	11657.73101	11401.33699
11750.0	8.00	11995.27885	11707.91673	11491.04845
11750.0	8.25	11955.79459	11728.06959	11550.17804
11750.0	8.50	11914.68794	11733.65898	11595.32426
11750.0	8.75	11875.53046	11735.79958	11634.88202
11750.0	9.00	11839.55303	11723.37069	11664.20528
11750.0	9.25	11806.51074	11730.32332	11696.88468
11750.0	9.50	11776.99823	11718.45844	11716.62779
12000.0	6.50	12394.27704	11628.28071	11167.73903
12000.0	6.75	12365.16127	11659.77902	11215.40523
12000.0	7.00	12320.26365	11660.04031	11244.86143
12000.0	7.25	12257.51632	11694.55496	11318.49431
12000.0	7.50	12205.85018	11720.29180	11399.04130
12000.0	7.75	12192.14492	11805.29448	11521.89597
12000.0	8.00	12192.98193	11886.03401	11644.58966
12000.0	8.25	12167.99417	11927.91741	11731.51439
12000.0	8.50	12131.30260	11940.34255	11786.99420
12000.0	8.75	12093.68173	11956.59477	11843.43005
