Teff	log(g)	T_BB_tess
15250.0	8.25	13330.20303
15250.0	8.50	13389.76261
15250.0	8.75	13463.45989
15250.0	9.00	13568.44909
15250.0	9.25	13708.73055
15250.0	9.50	13877.69680
15500.0	6.50	13183.16724
15500.0	6.75	13217.70961
15500.0	7.00	13254.74739
15500.0	7.25	13295.00533
15500.0	7.50	13336.76405
15500.0	7.75	13384.64894
15500.0	8.00	13433.60789
15500.0	8.25	13487.19330
15500.0	8.50	13544.18179
15500.0	8.75	13614.32778
15500.0	9.00	13707.23150
15500.0	9.25	13835.60415
15500.0	9.50	14000.09796
15750.0	6.50	13334.36501
15750.0	6.75	13370.23433
15750.0	7.00	13407.14554
15750.0	7.25	13447.80110
15750.0	7.50	13491.29254
15750.0	7.75	13538.21719
15750.0	8.00	13588.45323
15750.0	8.25	13643.56103
15750.0	8.50	13698.14391
15750.0	8.75	13764.51609
15750.0	9.00	13850.96458
15750.0	9.25	13969.08870
15750.0	9.50	14124.40227
16000.0	6.50	13486.83456
16000.0	6.75	13522.73466
16000.0	7.00	13560.82177
16000.0	7.25	13599.27862
16000.0	7.50	13643.76861
16000.0	7.75	13692.37081
16000.0	8.00	13743.21064
16000.0	8.25	13796.11156
16000.0	8.50	13853.53405
16000.0	8.75	13919.73568
16000.0	9.00	13998.28045
16000.0	9.25	14107.36424
16000.0	9.50	14251.80994
16250.0	6.50	13640.94934
16250.0	6.75	13677.00087
16250.0	7.00	13714.38029
16250.0	7.25	13754.63650
16250.0	7.50	13799.68118
16250.0	7.75	13846.87446
16250.0	8.00	13898.48984
16250.0	8.25	13953.34506
16250.0	8.50	14011.35902
16250.0	8.75	14072.76385
16250.0	9.00	14147.72881
16250.0	9.25	14247.09505
16250.0	9.50	14384.15250
16500.0	6.50	13791.98001
16500.0	6.75	13830.05740
16500.0	7.00	13866.33171
16500.0	7.25	13906.27856
16500.0	7.50	13951.13181
16500.0	7.75	14002.23070
16500.0	8.00	14053.44161
